Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-08-08,69.9,67.55,69,9727241,6707.172503,8108
2018-08-09,70.75,68,68.9,5515389,3820.962529,2077
2018-08-10,86.1,68.35,77.6,44673883,35002.83809,18065
2018-08-11,80.05,76.65,77.75,17409930,13582.58206,5310
2018-08-12,79,74.65,76.55,9638641,7337.673382,3531
2018-08-13,77.7,75.3,76.35,9074632,6930.019171,3487
2018-08-14,77.4,75.3,76,7177611,5499.289411,2405
2018-08-15,75.85,73.25,75.3,4561329,3404.012366,1812
2018-08-16,77.1,75,75.65,4673161,3553.564253,1333
2018-08-17,76.5,75.5,75.95,437631,332.7430715,138
2018-08-18,77.1,75,75.9,8564873,6515.156398,2295
2018-08-19,76.4,74.15,74.55,3131624,2350.402255,1260
2018-08-20,76.5,73.1,76.05,5609725,4190.354354,1843
2018-08-21,78.75,75.5,77.95,5642238,4373.244562,2999
2018-08-22,78.4,75.9,76.7,3328106,2557.186522,1565
2018-08-23,77.4,75.1,76.8,4743419,3621.214422,2058
2018-08-24,77.8,75.8,77.35,5660440,4358.07777,2452
2018-08-25,78.85,76.35,78.3,10567258,8231.934512,3843
2018-08-26,79.1,76.75,78.15,4999835,3900.461381,2589
2018-08-27,78.25,74.5,74.9,4807716,3658.061618,2325
2018-08-28,76.4,74.45,75.55,4950029,3733.227151,3569
2018-08-29,76.2,74.5,75.65,4127732,3111.969506,3884
2018-08-30,76.1,73.85,74.4,3949157,2950.600025,4672
2018-08-31,75.75,73.4,75.2,14742072,11060.45306,6628
2018-09-01,76.5,73.75,76.1,8135493,6144.441092,1923
2018-09-02,83.15,76.75,82.55,29213251,23627.91426,9268
2018-09-03,83.85,80.7,81.5,9652045,7933.770019,2974
2018-09-04,81.5,79.9,80.45,4817088,3879.9169,1847
2018-09-05,80.2,78.8,79.4,4685342,3732.059768,1503
2018-09-06,81.15,78.35,79.45,5677506,4530.784592,1981
2018-09-07,79.3,76.3,77.65,3040723,2366.885121,1598
2018-09-08,80.15,75.85,79.15,3917069,3085.327252,2187
2018-09-09,79.95,77.75,79.1,4227632,3344.815322,2046
2018-09-10,81.3,77.5,78.7,5535207,4402.104135,3284
